,gender,age,cust_id,became_member_on,income,days_as_member
120,F,51,1a353048b0884fc5a0afa27677ef1e80,2017-08-13,56000.0,1201
123,F,64,2cf5895bddf9467e878c6d51a622d5fb,2017-10-20,37000.0,1133
124,M,71,6747dda08bed46298c23e05b64820a3a,2017-01-29,57000.0,1397
125,F,64,f35b342b24734da18a830bb9329a4fbd,2017-04-21,66000.0,1315
126,M,83,4c29d22467af4d7faa137c4eedd65340,2018-01-27,46000.0,1034
127,M,26,e997a086fc13446da2aa9070d98d191a,2017-12-11,71000.0,1081
129,F,29,17af917bb842480e925e49a8ca08c1f8,2018-03-21,58000.0,981
130,M,43,bf8d7498eb32431ab3fedaa14b7d3a0d,2017-09-15,70000.0,1168
131,F,89,3dae0eadb47149b0b9b548d14548524b,2018-01-14,65000.0,1047
132,F,49,5404741ead9442bdbd4b9aa2273e85af,2018-05-18,79000.0,923
133,M,79,81e9ad5fa55a4884b65e01a5db8f1b4e,2016-06-27,67000.0,1613
134,F,55,b2f1cd155b864803ad8334cdf13c4bd2,2017-10-16,94000.0,1137
135,M,55,37a97f6e09784a07bbb67bc6539f1a00,2017-12-03,66000.0,1089
136,M,45,77927096ab4144fa930b4cadd4773cc2,2017-10-07,31000.0,1146
137,M,52,acbc358a8bf44ba88d0de1f2bec5b2ab,2018-01-30,30000.0,1031
138,M,39,8ca29d07b300474786a6016fe76174dd,2016-04-04,55000.0,1697
139,M,77,88baa20c29a94178a43a7d68e5f039d4,2018-07-02,69000.0,878
140,M,66,a2bd377c7ab74d93bbfd87f70043a9f8,2018-07-09,60000.0,871
141,F,69,23f9e3baf42b43148fee9bbbc3530c7a,2017-09-27,87000.0,1156
142,M,74,8486e692a5f94d179d507eaca848ecbd,2014-08-20,53000.0,2290
144,F,75,49f22e86d2db41878778d70958dc744e,2018-07-12,87000.0,868
145,F,59,28de174a5c854dd1be3187dc6edae45b,2015-09-09,85000.0,1905
146,M,47,a1eb338ccbca4cc88c9366939f16d819,2013-12-30,66000.0,2523
147,M,20,220a39cdfd6b41268c43a2e588fcb7e0,2018-05-28,69000.0,913
148,M,60,0c89378f14804b42b6e63e4dc26e8d3e,2017-04-26,108000.0,1310
149,M,65,464d2302b99b46ad8eb3e42e1b849c24,2018-03-15,61000.0,987
150,M,33,3f36bc1d5fc0499b9f96f62348f0f9b0,2015-04-21,43000.0,2046
151,F,39,fe97aa22dd3e48c8b143116a8403dd52,2017-12-17,67000.0,1075
152,M,49,dbca75f289544e09836322ba2e104854,2018-06-02,59000.0,908
153,M,68,c863af14b3654499b1caea5e640136d2,2018-02-07,58000.0,1023
154,M,42,d7dc31e069124ef49e1bb937cb89f41c,2017-02-09,80000.0,1386
155,M,72,1827da57bb924833a6f73c79b5f2bbc5,2018-06-01,33000.0,909
156,F,18,721eb06ac285463aa6e1184e0ea9b7f0,2017-05-24,49000.0,1282
157,F,32,d594b1f288674594a02c8527e5837ade,2018-06-28,42000.0,882
158,M,67,0f54094029ca4107bfd36203aeb3ed14,2017-08-28,50000.0,1186
159,M,52,5f18c5754dc04baaa1267c823f877a85,2018-07-04,42000.0,876
160,M,38,d8567f1400d8486cb31c6abba64389ec,2017-10-19,64000.0,1134
161,F,60,30fae86966114f6e83c3043b22b6b7c4,2018-03-16,77000.0,986
162,F,62,fd700397b7c8440baa70d5539926c5a0,2017-12-22,77000.0,1070
163,F,55,4293153650e04742b310ac06cd3810e9,2018-07-08,51000.0,872
164,M,22,2ce2e03319c7446ca9c379b4589da19b,2018-04-28,63000.0,943
165,M,34,4d15a2a5ac134c58971b910b859bec24,2017-12-06,41000.0,1086
166,M,46,127cd9d95e6247e5b92bff64d6205a94,2014-12-14,60000.0,2174
167,M,85,4e233f02eff840c7a3e5ec15d55d7d23,2018-07-26,67000.0,854
168,F,51,3ecb372184104ff7bad0f0f60cb56e29,2017-03-16,85000.0,1351
170,F,53,8a37057f57c4495fb98dfcc8b909b09f,2016-04-27,85000.0,1674
171,M,51,11da2f066d3943699d10b61fd276fd1a,2016-08-10,92000.0,1569
173,M,48,21b02228cd4441b49bf0b5ff046f4b75,2015-06-01,44000.0,2005
174,M,52,629fc02d56414d91bca360decdfa9288,2018-06-05,72000.0,905
176,M,62,c87b50fcdd4a4d2faacff6112243a8dd,2016-03-05,53000.0,1727
177,M,42,91dc71c4e9bd45b0861825c32f5ee8f9,2018-03-25,62000.0,977
178,M,55,3bd5ba038a5c46cc94e8cd5e5739c967,2017-10-25,65000.0,1128
179,F,27,92214286965d4eb1ad14dc8b0b04a20f,2015-09-15,50000.0,1899
180,M,68,37155a5f4ff248529399c95472186879,2018-05-30,107000.0,911
181,F,74,c84fe4915ef74c7f9e81b003d3ecf54c,2017-12-20,83000.0,1072
182,M,77,041fd7c6b796430a867c4e03d2ff8f4d,2014-10-11,66000.0,2238
183,M,35,9e91e04b9a344f4e948728bf127967b6,2018-01-18,72000.0,1043
184,F,50,348bdc19d65f49b8b98f72c59e64cd89,2017-11-08,69000.0,1114
185,M,45,c74beaa959a742309ba8350b7d472676,2015-10-27,94000.0,1857
186,M,82,c79da41557894c7eacc5c0156dc1f4dc,2016-12-31,87000.0,1426
187,M,40,8cc1a1bd309842bfaafd4483d994579b,2013-12-22,57000.0,2531
188,M,66,83e2ccc1d4374c14865e8e2cf16007dd,2018-06-17,34000.0,893
189,M,52,17c803219d1348d4a016691c947de0ed,2018-04-11,63000.0,960
190,F,57,791ffe6d3dc848d2b233129a8096f7ab,2016-03-29,89000.0,1703
191,M,68,2204f8ff966f48db90246bd7b5918a7f,2016-06-29,69000.0,1611
192,M,21,0b9cac742f534951b5af48395dfe6879,2018-03-03,52000.0,999
193,M,61,b818e955451b47db9fc8767fa45e464e,2017-08-15,44000.0,1199
195,F,58,a9ecb39d93d74696a9d6ddd5355329ff,2018-03-17,54000.0,985
196,F,67,0d18c37c8b58459f8aa6af2f7b541357,2018-06-14,54000.0,896
197,M,24,d250372c924747d8ac9a8fa88f584bc3,2017-02-12,61000.0,1383
199,M,26,3cea9c09fefb4c33ae2f0aa604af7eb4,2017-11-17,35000.0,1105
200,F,71,87efa556dd48400cb4231a273e088bcf,2017-12-07,105000.0,1085
201,F,69,4e4c47b460b1414c8ddd459b61f84b9e,2017-12-12,64000.0,1080
202,M,81,accec36a10704e1fbaeb9b28b8bc5da8,2018-05-03,93000.0,938
203,M,62,d1a6fe4c241e4dbf8a4da6fd6c714ac5,2016-04-05,73000.0,1696
204,M,38,1eed89c11cc749a4bb93d8cef032821d,2017-07-09,74000.0,1236
205,M,61,3f279ee9fd0d4195b0b9574ce0ae6923,2017-09-26,82000.0,1157
206,F,52,2d40e25b82b94b37bbad2332e90a1034,2017-08-09,92000.0,1205
207,M,50,9df2790f060d430e94f17189042e5671,2017-12-25,70000.0,1067
208,M,54,ae47fbe72b274838a2093c3e91bc03dc,2017-02-16,118000.0,1379
209,F,75,018b8f83176d471db63d9733c741fc8a,2018-05-02,109000.0,939
210,M,82,d2e88e95c0ae41c0980e4cfc10d162d8,2018-03-19,73000.0,983
211,M,64,aa4a681ea192401ab469b616f8fe6885,2018-07-20,38000.0,860
212,F,54,ae40f2f496e84ed29e7638b0bccee9a4,2015-10-06,99000.0,1878
214,M,82,5a3d291f75984396b6eb2800206ec716,2018-01-08,72000.0,1053
216,M,90,bf2c086d4c4049289df1e0c8ea08f55c,2018-05-09,45000.0,932
217,F,34,5b9c1a35c0144b6ab584e666dec7c531,2018-04-17,67000.0,954
218,M,44,ad3c443c9ce34aa38929b0a84cb14c04,2018-07-18,53000.0,862
219,F,79,688e4f2487d44ad8bbcc0f96936f42d6,2018-07-11,106000.0,869
220,F,58,73c157a4b8e342fcb5d8479d8cb41e81,2016-12-31,95000.0,1426
222,F,47,e737ff591120415581ddbe817b8c82ca,2016-01-05,74000.0,1787
223,F,60,9cb34ff9de694c578154da3efc9915db,2017-11-17,59000.0,1105
224,M,83,32189735a963491082e35dd4c3221690,2017-08-07,54000.0,1207
225,F,74,4e5923e5deab4d5cb1624a0b1cc9909c,2018-05-17,103000.0,924
226,M,89,2c5c71b7bfaa4e3e8088fc177e6e559b,2015-09-17,101000.0,1897
227,M,68,307245a5204947e5a9f952daffcad5f2,2016-03-05,62000.0,1727
228,F,63,eb834c09384149e88983526893d4d0cb,2017-11-27,110000.0,1095
229,F,40,f93884685d214230bbc7c5f46aef121f,2018-07-06,51000.0,874
230,F,79,341276cb09ac42ad8473be091b52b082,2017-12-17,99000.0,1075
231,M,71,18174519037241e9b1ddcb627ca4dc41,2018-03-21,30000.0,981
232,F,76,978d48db5c714a4490d904412f85b502,2015-09-06,114000.0,1908
233,M,89,2f442d5255324bbd9438b8a213544532,2016-05-28,96000.0,1643
234,M,63,044f41cfd98940119477d73c81f973a3,2017-07-29,36000.0,1216
236,M,41,031387fa9cfd47e88f4e4b4b4cb71925,2017-09-22,83000.0,1161
237,F,71,8c410d84af08408fb41f953c93ffac27,2018-04-08,56000.0,963
238,M,44,09e7e40eb89943458f4f79fe2e023dd6,2017-10-11,36000.0,1142
239,M,25,97b2476046874de3975e8feee95a1f98,2016-04-06,73000.0,1695
240,M,27,0ad8a9771c59432f9641e48212b2ccb9,2018-03-27,70000.0,975
241,M,67,2a01c11fdcc441bcbdc842c35adccb2f,2018-02-12,106000.0,1018
242,F,77,78e9be059fce46a1b610f74e0e812a4a,2016-02-19,80000.0,1742
243,F,68,ad4fd34e9f7e4fd9ae627edd73ca2081,2015-12-29,66000.0,1794
244,M,37,0e4e14ea66044a9eaee0b5efbff6ca62,2016-04-20,64000.0,1681
245,M,55,ace4a7611da040748d1722cda25b6280,2016-03-23,60000.0,1709
246,M,30,c894971c9e414a358b84255199727636,2016-09-03,54000.0,1545
247,M,51,e277228d77a64ab896d6dd6d88f970d3,2015-08-15,54000.0,1930
248,F,47,f20277feaaca40b1ae9295a1d897fcb8,2018-07-12,92000.0,868
249,M,49,6f04a68e93df44d1b2329a399016452b,2018-02-04,48000.0,1026
250,M,32,27aa749a6f5f448e91327028a2ac7fb5,2015-10-08,38000.0,1876
251,M,30,ba9fb3e4a7084361914c1647d871d27e,2017-04-18,69000.0,1318
252,M,47,00c6035df45840038a72766c6d27a0db,2017-02-25,86000.0,1370
254,M,34,fffad4f4828548d1b5583907f2e9906b,2017-01-23,34000.0,1403
255,F,78,a1ad0bbe76f8403786baa50ff845bc42,2017-06-04,101000.0,1271
256,F,85,50fb5c0c6b1b4f43bd5f4a818dddb513,2016-03-02,71000.0,1730
257,F,75,a97e6f33219c432db82acfa0d19c602d,2013-08-06,69000.0,2669
258,F,76,c6a2cd4fdc104ea5896ac60300f6842d,2017-03-11,71000.0,1356
259,F,89,4c0b938c4e994b168f0062d7dbb79796,2015-07-22,59000.0,1954
260,M,58,4de38d89a91c4286a583085d909817f9,2018-01-29,70000.0,1032
261,M,23,5ad59daa0d6b41f0a0c115443c1d8828,2017-10-30,49000.0,1123
262,M,58,2b91e3c00a424185ab261b2a204c9718,2017-09-16,53000.0,1167
264,F,64,23bc15e276d247669fd7d1c08a8fb678,2015-10-12,95000.0,1872
265,M,72,da6c95e567f94dfdb54c16073807fcfe,2017-09-09,39000.0,1174
266,F,66,fae3fbe975cc4421b853947d7448904e,2017-08-11,72000.0,1203
267,F,49,7798d98a070845328d838312b65ba846,2017-08-09,68000.0,1205
268,M,43,b21beefac7b6488f8384774c4d90faca,2017-04-13,71000.0,1323
269,M,58,932715eb8a33450c83c1557c99968c7b,2018-07-17,39000.0,863
270,M,43,cac7e2d5e1f444debdbebcb02a9d6d3d,2017-08-06,76000.0,1208
271,F,56,203831402e2b49a8bf1fa35263f17165,2017-03-29,87000.0,1338
272,F,69,816f33d96b624c84a890f87694ac4172,2017-10-16,118000.0,1137
273,O,60,d0be9ff460964c3398a33ad9b2829f3a,2018-02-16,94000.0,1014
274,M,81,327d08559d564f13b6aaf681700c2e6e,2016-06-01,70000.0,1639
275,M,42,c610bd00615c41079c7a1a33f76d9228,2017-04-03,91000.0,1333
276,M,75,716cff13fcd44dc2a96c138950dc48bd,2015-01-10,71000.0,2147
277,M,62,c05652fa9d2c4fac9a010ea5a9310c86,2018-01-27,73000.0,1034
278,F,55,fbc039723b044dfd8a1723a976d667d9,2016-05-05,54000.0,1666
279,M,65,e1103f6b4c444f84b65f856738c0f60c,2017-10-11,39000.0,1142
280,M,52,b6905df3630b4137b077b6e1b4b21d75,2017-02-27,46000.0,1368
281,F,30,2c3a4de659584bed8d27cfd865f06928,2017-10-15,40000.0,1138
282,F,74,28416e7d96d746fb9c1fb8223d9e4914,2015-09-24,75000.0,1890
283,F,100,24c1287eb7a84cfd80472a82e05b1d57,2015-08-28,63000.0,1917
284,F,26,a4579681ffca49cfbff6f5453a49bf76,2017-03-24,40000.0,1343
285,F,56,8a04ab4063e94628b5bbd86781639430,2016-03-28,53000.0,1704
286,M,50,393e6938e7eb46cb86bcb04f231efc0f,2014-10-15,90000.0,2234
287,M,73,62fb072537a647a89f99fb9ea66a7c00,2017-10-08,95000.0,1145
288,F,49,0acaa564f18b418ba642e2a4ff3e028d,2017-12-10,74000.0,1082
289,M,37,585fb2dc600d4a0f912d8911aba11203,2016-01-09,50000.0,1783
290,M,65,9b0e7b326e314b758369c2f794566eb3,2016-02-12,57000.0,1749
291,F,64,aec532a91d9948cb828cc657fa27fce2,2016-02-25,81000.0,1736
292,F,48,9c64321646bf40f6ad1bc98864eaa6b8,2016-10-14,53000.0,1504
293,M,20,4e6eb10de9744995be7496f5b1cc7bcf,2015-08-12,32000.0,1933
295,M,46,e89dce9d75634dc5bf1df0a0cea0f316,2018-07-23,40000.0,857
296,M,24,e08a264dc9a54efca07e1cf7e9b38480,2015-04-27,69000.0,2040
297,M,71,a4ac99af1b7f4344b734ac07592ab717,2015-08-26,95000.0,1919
298,F,50,f8362fcaa42248fca2a2a174951a954a,2018-05-25,78000.0,916
299,M,37,676506bad68e4161b9bbaffeb039626b,2017-05-15,92000.0,1291
300,F,57,b7658a8eab2f42668a9d66499b001e88,2016-05-22,81000.0,1649
302,M,52,a8719d4d305444579b2d2c1b777c3417,2014-04-25,85000.0,2407
303,M,41,bd215efd787d4305a006a56154fbcb67,2016-08-24,41000.0,1555
304,F,66,f5e59835627a49a0b13c4183522225d4,2017-06-18,74000.0,1257
305,F,66,f970eafddcb34154aa4d646b4a71ca34,2015-10-01,87000.0,1883
306,F,68,c4a3c86c7b5541cf83d443c2a89e5b5a,2017-10-25,120000.0,1128
307,M,20,4bbcb71a7f75455e9957413cf743fef7,2016-03-08,70000.0,1724
308,M,43,9ef935700f384fefa0e1a34f92555abd,2017-07-04,42000.0,1241
309,M,73,32fbf97e89274e8a935903f2ad095e1f,2017-12-12,38000.0,1080
311,F,42,68081ac19eae44ba99b47c8e1d4161a4,2017-05-29,56000.0,1277
312,M,82,b268f71b99b94e1485ed1ccd4c20007b,2016-06-04,110000.0,1636
314,F,70,01ef4c6618b64334a15914ff9963eaac,2017-11-09,92000.0,1113
315,F,42,7a7aece75d5347bd869fbcf707aea6b1,2017-10-10,71000.0,1143
316,M,48,8f7dd3b2afe14c078eb4f6e6fe4ba97d,2015-09-03,62000.0,1911
317,F,53,8b5ae6d6547745d5adae0b0828de3f7d,2015-09-10,93000.0,1904
318,M,64,66ccb31b29da4e9db3337fcfd5039c17,2018-03-04,67000.0,998
319,M,79,dd0fe73d5e7b46e98304b1643394fe9e,2018-01-23,90000.0,1038
320,M,51,b0be9b4679204f82b937260a08e54eb0,2016-05-11,55000.0,1660
321,F,45,713a1ea744ee4267a741645078845eac,2018-01-20,88000.0,1041
322,F,48,f8756fc0eea24e7ba3ccd846efc4d0d5,2016-06-02,105000.0,1638
324,F,54,01e8739670a042b3877f8e843bdf55a7,2015-10-24,119000.0,1860
325,M,52,5e97488a58c641ea8ecb05a8e27fddc4,2018-07-10,48000.0,870
326,M,28,e6590c7f954f4ff482c069b45070b351,2013-09-24,68000.0,2620
327,M,69,bb9cf26ad43044a3b0dd90c22bbd05d1,2014-05-02,47000.0,2400
328,M,73,0861b9ca31b741bb8b411b18f82d18f6,2017-06-27,92000.0,1248
330,F,67,eefbc1aac05142aeb0ce661d3a19ae48,2017-08-13,71000.0,1201
331,F,76,cc40aaa447054294a86c75d79881e35a,2018-06-13,34000.0,897
332,F,55,c34eaeb9e68248c382e4483328bb9867,2015-11-21,53000.0,1832
333,F,89,69b02748e2864894b9a425d079d806ca,2018-06-23,83000.0,887
335,M,57,717a423a31284ce1b767cad1c471d968,2018-04-29,41000.0,942
337,F,54,ca900921cfdd4b11a432df6f46a3e26d,2018-02-11,70000.0,1019
339,M,58,b4a4a6b9648a45baa15f438ffb5565e9,2017-12-27,73000.0,1065
341,M,49,1e78f244cac34e758dff086f30dbc1be,2017-11-23,39000.0,1099
342,F,73,07ebe89c877e4328b60f4e5676452ee1,2018-05-07,79000.0,934
343,F,58,371d6b3a983547709252bbbcbedda147,2017-02-19,76000.0,1376
344,M,51,ea8a1cb1c56e42e4807e9ec27b95b97b,2017-12-14,70000.0,1078
345,M,74,709189c4727342a782cd28ad41c1b316,2016-04-18,78000.0,1683
346,M,53,c0f9e4bb1f3a4d30a34f5a835b2c97ea,2015-09-06,95000.0,1908
347,M,61,9e0369f1045443c2a83a423920155ab3,2018-02-27,32000.0,1003
349,M,41,acc3bb69130c45aca141e8aa86f41b42,2017-10-24,55000.0,1129
350,F,64,8899cbcaf33d4e4d87a3f761b5ff8cf2,2017-10-08,95000.0,1145
353,M,42,cda87c53c8434854b78be68c0cde4848,2017-09-08,75000.0,1175
354,M,50,be2b393781594f4da055ef99b4d95e48,2016-04-26,57000.0,1675
355,M,60,e8f6590b4991479eb898457e8ebf4890,2017-09-03,56000.0,1180
356,F,57,7da4476ec7234c0fa8f05d2336669212,2016-04-08,83000.0,1693
357,F,39,a0f63f6e1285445dbbdcc5d4943c843f,2017-04-07,54000.0,1329
359,F,57,b3ad8755d0ac47faa6e9c10954fec6a4,2016-08-27,67000.0,1552
360,M,57,fe23d94e175742209abf65cfbc684153,2017-12-16,71000.0,1076
361,M,68,4c51ba3886b84781996ca15d42af505d,2016-03-18,51000.0,1714
362,F,83,813f7ade94c14226b49b3ec4ace58718,2015-09-10,114000.0,1904
363,F,35,ee8eccee44354ee38eea7b4704514136,2018-01-02,72000.0,1059
364,F,90,58ad7189fe54463fa221873e553f3173,2018-01-01,72000.0,1060
365,M,56,1e917541b9324d93bde2bf5ec7ee21a7,2018-04-04,72000.0,967
367,M,84,4786c65ce3d944c09d1562bf9363541a,2017-09-07,81000.0,1176
368,M,62,a7456960b600412fa516433d4821361c,2018-03-12,39000.0,990
369,M,63,ce9ccae3451247fc98667ef67857b116,2017-02-23,58000.0,1372
371,M,67,62274260252f4b04962ec2f85295b447,2016-01-05,56000.0,1787
372,F,68,4c1c14245a1f4b138ae662fe2243342f,2017-11-26,50000.0,1096
373,M,55,9bd8945dd46d4e55b6504a0a0878ed51,2017-05-08,73000.0,1298
376,F,24,c93f9619abd642a684bd79953cef992c,2017-02-07,59000.0,1388
377,M,40,508e507b462a4f6cb3dd48bcd3118521,2017-08-15,39000.0,1199
378,M,83,e3cd0a0e1af5463d9cc4d18e4b7b8b63,2018-01-18,61000.0,1043
381,F,63,9ddafd9acd6e441a8ebf8845e2ac5319,2017-03-16,41000.0,1351
382,F,59,0e72fad934a74c2c97a98c525d64f738,2018-01-16,59000.0,1045
383,O,49,0d0a9ca9281248a8a35806c9ae68f872,2017-12-07,42000.0,1085
