,gender,age,cust_id,became_member_on,income,days_as_member,Total offer completed,Total offer received,Total offer viewed,Total transaction,offer completed_via_email,offer completed_via_social,offer completed_via_mobile,offer completed_via_web,offer completed bogo count,offer completed discount count,offer received_via_email,offer received_via_social,offer received_via_mobile,offer received_via_web,offer received bogo count,offer received discount count,offer received informational count,offer viewed_via_email,offer viewed_via_social,offer viewed_via_mobile,offer viewed_via_web,offer viewed bogo count,offer viewed discount count,offer viewed informational count,Total transaction amount,avg_difficulty,avg_duration,total_reward_received,total_reward_defined,total_view_ratio,total_completion_ratio,avg_transaction_amt,transactions_per_membership_days
13,F,78,c27e0d6ab72c455a8bb66d980963de60,2017-06-16,71000.0,1259,1.0,6.0,6.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,4.0,6.0,4.0,1.0,1.0,4.0,6.0,4.0,6.0,4.0,1.0,1.0,4.0,155.45999999999998,3.8461538461538463,125.53846153846153,2.0,12.0,1.0,0.167,19.43,0.006354249404289118
14,M,42,f806632c011441378d4646567f357a21,2013-08-11,69000.0,2664,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,4.0,4.0,1.0,2.0,1.0,4.0,3.0,4.0,4.0,1.0,2.0,1.0,91.4,8.181818181818182,181.0909090909091,14.0,14.0,1.0,0.75,18.28,0.0018768768768768769
15,F,56,d058f73bf8674a26a95227db098147b1,2018-04-28,88000.0,943,4.0,6.0,6.0,3.0,4.0,1.0,2.0,4.0,1.0,3.0,6.0,1.0,4.0,6.0,3.0,3.0,0.0,6.0,1.0,4.0,6.0,3.0,3.0,0.0,75.62,12.5,186.0,22.0,32.0,1.0,0.667,25.21,0.003181336161187699
16,F,33,c6c9884912c645429f3333f912b55f44,2017-09-26,52000.0,1157,1.0,6.0,3.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,2.0,5.0,6.0,1.0,5.0,0.0,3.0,2.0,3.0,3.0,0.0,3.0,0.0,17.9,9.9,196.8,2.0,19.0,0.5,0.167,1.99,0.007778738115816767
17,F,46,7429a044884842d6862f516c38b1156f,2017-09-11,59000.0,1172,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.88,12.0,163.2,0.0,20.0,0.25,0.0,2.88,0.0008532423208191126
18,M,59,ebe7ef46ea6f4963a7dd49f501b26779,2015-01-21,41000.0,2136,2.0,6.0,5.0,13.0,2.0,1.0,2.0,2.0,0.0,2.0,6.0,3.0,6.0,4.0,2.0,2.0,2.0,5.0,3.0,5.0,3.0,1.0,2.0,2.0,52.08,5.769230769230769,155.07692307692307,4.0,14.0,0.83,0.333,4.01,0.006086142322097378
19,M,67,5917d13f6fa04286abdf95f4d5cefb1e,2014-08-23,96000.0,2287,4.0,4.0,3.0,8.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,0.0,3.0,3.0,3.0,3.0,1.0,2.0,0.0,206.88,7.0,154.9090909090909,21.0,21.0,0.75,1.0,25.86,0.0034980323567993005
20,O,53,d1ede868e29245ea91818a903fec04c6,2017-09-16,52000.0,1167,1.0,5.0,3.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,3.0,5.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,0.0,1.0,18.740000000000002,7.222222222222222,125.33333333333333,2.0,27.0,0.6,0.2,3.75,0.004284490145672665
21,M,22,1e9420836d554513ab90eba98552d0a9,2017-09-25,70000.0,1158,4.0,6.0,6.0,6.0,4.0,3.0,3.0,4.0,2.0,2.0,6.0,4.0,5.0,5.0,3.0,2.0,1.0,6.0,4.0,5.0,5.0,3.0,2.0,1.0,106.38,10.0625,154.5,28.0,38.0,1.0,0.667,17.73,0.0051813471502590676
22,F,96,868317b9be554cb18e50bc68484749a2,2017-11-17,89000.0,1105,4.0,5.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,5.0,3.0,5.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,81.92,5.363636363636363,137.45454545454547,15.0,15.0,0.4,0.8,20.48,0.0036199095022624436
23,M,40,f082d80f0aac47a99173ba8ef8fc1909,2016-07-09,33000.0,1601,1.0,6.0,4.0,14.0,1.0,0.0,1.0,1.0,1.0,0.0,6.0,3.0,6.0,4.0,5.0,0.0,1.0,4.0,3.0,4.0,2.0,3.0,0.0,1.0,40.94,5.0,141.8181818181818,5.0,30.0,0.67,0.167,2.92,0.008744534665833853
24,F,69,102e9454054946fda62242d2e176fdce,2016-08-14,57000.0,1565,4.0,6.0,6.0,14.0,4.0,2.0,4.0,3.0,4.0,0.0,6.0,3.0,6.0,4.0,4.0,0.0,2.0,6.0,3.0,6.0,4.0,4.0,0.0,2.0,213.49,5.625,138.0,30.0,30.0,1.0,0.667,15.25,0.008945686900958467
25,M,56,8dabe2142cdf4013a6f4786edf8ab00f,2014-05-11,68000.0,2391,2.0,3.0,2.0,9.0,2.0,1.0,1.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,167.67000000000002,12.857142857142858,216.0,7.0,7.0,0.67,0.667,18.63,0.0037641154328732747
26,F,26,9f30b375d7bd4c62a884ffe7034e09ee,2017-08-12,63000.0,1202,2.0,3.0,3.0,21.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0,3.0,2.0,0.0,2.0,1.0,3.0,3.0,3.0,2.0,0.0,2.0,1.0,73.38000000000001,6.375,171.0,5.0,5.0,1.0,0.667,3.49,0.01747088186356073
27,M,75,6e014185620b49bd98749f728747572f,2015-11-12,40000.0,1841,4.0,4.0,3.0,10.0,4.0,2.0,4.0,4.0,1.0,3.0,4.0,2.0,4.0,4.0,1.0,3.0,0.0,3.0,2.0,3.0,3.0,1.0,2.0,0.0,155.53,7.818181818181818,154.9090909090909,12.0,12.0,0.75,1.0,15.55,0.005431830526887561
28,F,20,02c083884c7d45b39cc68e1314fec56c,2016-07-11,30000.0,1599,0.0,2.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,29.889999999999997,13.333333333333334,192.0,0.0,15.0,0.5,0.0,2.99,0.006253908692933083
29,M,45,c0d210398dee4a0895b24444a5fcd1d2,2018-07-07,33000.0,873,3.0,5.0,5.0,8.0,3.0,2.0,3.0,3.0,2.0,1.0,5.0,3.0,5.0,5.0,3.0,1.0,1.0,5.0,3.0,5.0,5.0,3.0,1.0,1.0,61.25,6.615384615384615,138.46153846153845,18.0,28.0,1.0,0.6,7.66,0.009163802978235968
30,M,61,8b70ca1f5f5a45bdac2ac2f990b71526,2017-11-21,98000.0,1101,4.0,5.0,4.0,8.0,4.0,2.0,4.0,4.0,2.0,2.0,5.0,3.0,5.0,5.0,3.0,2.0,0.0,4.0,3.0,4.0,4.0,3.0,1.0,0.0,234.42999999999995,7.384615384615385,149.53846153846155,20.0,25.0,0.8,0.8,29.3,0.007266121707538601
31,F,69,8e7c7465e98c43d8a01f51e2b5c29542,2013-09-18,37000.0,2626,1.0,5.0,3.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,3.0,4.0,3.0,3.0,2.0,0.0,3.0,3.0,3.0,1.0,2.0,1.0,0.0,32.72,11.0,184.0,5.0,33.0,0.6,0.2,2.73,0.00456968773800457
32,F,54,57dd18ec5ddc46828afb81ec5977bef2,2017-02-07,80000.0,1388,3.0,6.0,5.0,9.0,3.0,3.0,3.0,3.0,2.0,1.0,6.0,4.0,6.0,5.0,3.0,1.0,2.0,5.0,4.0,5.0,4.0,2.0,1.0,2.0,249.4,5.714285714285714,138.85714285714286,17.0,22.0,0.83,0.5,27.71,0.006484149855907781
33,M,39,be8a5d1981a2458d90b255ddc7e0d174,2014-05-27,51000.0,2375,1.0,5.0,3.0,14.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,3.0,4.0,4.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,0.0,1.0,51.91000000000001,6.111111111111111,120.0,5.0,20.0,0.6,0.2,3.71,0.005894736842105263
34,F,41,3f89b8f80ebc4f94b7074f28071aa8d4,2015-09-21,41000.0,1893,3.0,4.0,2.0,18.0,3.0,1.0,3.0,3.0,1.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,62.51,7.888888888888889,168.0,10.0,20.0,0.5,0.75,3.47,0.009508716323296355
35,F,79,a3b9b4bf115e4564933ea2e4bc936843,2015-04-15,48000.0,2052,2.0,4.0,2.0,15.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,3.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,152.0,8.75,168.0,12.0,19.0,0.5,0.5,10.13,0.007309941520467836
36,F,66,7584948ea6d04f94b8798624706261c2,2018-04-08,38000.0,963,1.0,4.0,4.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,3.0,4.0,2.0,3.0,0.0,1.0,4.0,3.0,4.0,2.0,3.0,0.0,1.0,56.08,6.111111111111111,136.0,5.0,25.0,1.0,0.25,11.22,0.005192107995846314
37,F,56,e9844d5beac04bf8b8d3ad18f7e37fca,2017-06-26,52000.0,1249,2.0,3.0,1.0,7.0,2.0,1.0,1.0,2.0,0.0,2.0,3.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,87.10999999999999,13.5,204.0,8.0,13.0,0.33,0.667,12.44,0.005604483586869495
38,F,39,f247806381704ea58c1b06f60602a6ae,2014-07-23,56000.0,2318,3.0,5.0,3.0,13.0,3.0,1.0,3.0,3.0,1.0,2.0,5.0,2.0,5.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,150.23000000000002,5.545454545454546,150.54545454545453,10.0,15.0,0.6,0.6,11.56,0.0056082830025884385
39,M,42,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,2016-01-17,96000.0,1775,4.0,4.0,4.0,12.0,4.0,2.0,3.0,4.0,1.0,3.0,4.0,2.0,3.0,4.0,1.0,3.0,0.0,4.0,2.0,3.0,4.0,1.0,3.0,0.0,320.48,11.75,174.0,20.0,20.0,1.0,1.0,26.71,0.0067605633802816905
40,F,78,fe8264108d5b4f198453bbb1fa7ca6c9,2016-10-09,93000.0,1509,5.0,5.0,5.0,8.0,5.0,4.0,4.0,4.0,3.0,2.0,5.0,4.0,4.0,4.0,3.0,2.0,0.0,5.0,4.0,4.0,4.0,3.0,2.0,0.0,225.54999999999998,11.0,177.6,32.0,32.0,1.0,1.0,28.19,0.005301524188204109
41,M,45,186d6403f5824c739555b732f4af3f16,2017-10-06,48000.0,1147,0.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,17.0,10.0,192.0,0.0,17.0,0.5,0.0,2.83,0.0052310374891020054
42,M,29,8a87fda1a6644337b4394a4c3cd0946c,2016-04-30,50000.0,1671,1.0,4.0,2.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,3.0,3.0,0.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,38.169999999999995,10.0,181.71428571428572,5.0,9.0,0.5,0.25,3.18,0.00718132854578097
43,M,44,b7a66e629b134079a9bc7120c7b9947b,2017-09-24,35000.0,1159,4.0,4.0,4.0,18.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,0.0,4.0,4.0,4.0,4.0,1.0,3.0,0.0,150.23,7.25,174.0,13.0,13.0,1.0,1.0,8.35,0.015530629853321829
44,M,63,ca82e1ebc759402c8ab95c341755bdf1,2018-07-13,56000.0,867,3.0,3.0,3.0,9.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,0.0,3.0,2.0,3.0,2.0,1.0,2.0,0.0,121.61999999999999,10.0,192.0,14.0,14.0,1.0,1.0,13.51,0.010380622837370242
45,M,36,54890f68699049c2a04d415abc25e717,2017-12-28,56000.0,1064,2.0,3.0,2.0,7.0,2.0,1.0,1.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,118.85000000000001,8.714285714285714,161.14285714285714,8.0,8.0,0.67,0.667,16.98,0.006578947368421052
46,F,76,ab66a363907e43e9a7cd535f1578245b,2018-03-14,47000.0,988,1.0,5.0,3.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,3.0,4.0,5.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,22.65,9.0,146.66666666666666,3.0,28.0,0.6,0.2,3.78,0.006072874493927126
47,M,68,d3f146b615514c6380b168bb3df5f05b,2017-08-23,87000.0,1191,5.0,5.0,5.0,8.0,5.0,4.0,5.0,5.0,3.0,2.0,5.0,4.0,5.0,5.0,3.0,2.0,0.0,5.0,4.0,5.0,5.0,3.0,2.0,0.0,177.18,7.4,139.2,25.0,25.0,1.0,1.0,22.15,0.006717044500419815
48,M,75,a5a6ef2b78a04ddc9f374dd7c7f60bff,2015-11-29,52000.0,1824,2.0,3.0,3.0,11.0,2.0,0.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,135.54000000000002,5.625,144.0,7.0,7.0,1.0,0.667,12.32,0.006030701754385965
49,M,67,2e87ba0fba1a4d1a8614af771f07a94d,2017-02-26,76000.0,1369,4.0,5.0,5.0,12.0,4.0,4.0,4.0,4.0,1.0,3.0,5.0,5.0,5.0,4.0,1.0,3.0,1.0,5.0,5.0,5.0,4.0,1.0,3.0,1.0,200.77999999999997,6.214285714285714,159.42857142857142,13.0,13.0,1.0,0.8,16.73,0.008765522279035792
50,M,77,d8af520c4a8a4c77b921098d7d838c4d,2016-07-30,51000.0,1580,0.0,5.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,3.0,2.0,1.0,2.0,4.0,4.0,4.0,2.0,2.0,0.0,2.0,23.810000000000002,5.555555555555555,112.0,0.0,20.0,0.8,0.0,2.16,0.006962025316455696
51,M,76,39dbcf43e24d41f4bbf0f134157e0e1e,2014-08-31,64000.0,2279,1.0,3.0,2.0,8.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,110.92,6.666666666666667,136.0,2.0,12.0,0.67,0.333,13.86,0.0035103115401491883
52,M,57,b62e66ca4dcf4df39fd522e750a88d81,2018-02-07,98000.0,1023,2.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.24,13.0,196.8,15.0,20.0,0.0,0.667,27.24,0.0009775171065493646
53,F,53,8c7df0c393db488aac3e58b06a7ea5f9,2016-07-06,72000.0,1604,5.0,6.0,4.0,9.0,5.0,3.0,5.0,4.0,2.0,3.0,6.0,4.0,6.0,4.0,2.0,3.0,1.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,167.88,8.066666666666666,145.6,27.0,27.0,0.67,0.833,18.65,0.005610972568578554
54,F,53,3a1242dda16248728e350c4bdeb21972,2016-12-31,117000.0,1426,5.0,5.0,4.0,10.0,5.0,4.0,5.0,4.0,4.0,1.0,5.0,4.0,5.0,4.0,4.0,1.0,0.0,4.0,3.0,4.0,3.0,4.0,0.0,0.0,303.20000000000005,8.928571428571429,157.71428571428572,37.0,37.0,0.8,1.0,30.32,0.0070126227208976155
55,F,53,8045834137dc47faa24f2c4547969f33,2017-10-26,55000.0,1127,1.0,5.0,3.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,3.0,4.0,5.0,2.0,3.0,0.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,20.18,8.88888888888889,178.66666666666666,2.0,19.0,0.6,0.2,2.52,0.00709849157054126
56,F,61,fb98ebe9e3e14afaa5b5db182b00b7ec,2017-11-10,112000.0,1112,2.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,5.0,3.0,5.0,5.0,0.0,4.0,1.0,5.0,3.0,5.0,5.0,0.0,4.0,1.0,67.25,7.583333333333333,186.0,5.0,9.0,1.0,0.4,33.62,0.0017985611510791368
57,F,67,5cd6577aca5d4b419e452f9f505ffce7,2016-09-10,77000.0,1538,1.0,3.0,3.0,8.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,155.73000000000002,5.714285714285714,126.85714285714286,2.0,7.0,1.0,0.333,19.47,0.005201560468140442
58,F,58,99e9a1916821461ebd5d5048dc2dff7d,2018-01-25,85000.0,1036,4.0,4.0,4.0,15.0,4.0,3.0,3.0,4.0,1.0,3.0,4.0,3.0,3.0,4.0,1.0,3.0,0.0,4.0,3.0,3.0,4.0,1.0,3.0,0.0,290.41999999999996,11.25,210.0,14.0,14.0,1.0,1.0,19.36,0.01447876447876448
59,F,46,e528ceb341964128aaf58a59733ec2af,2018-06-29,36000.0,881,0.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,5.0,0.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,17.130000000000003,6.0,168.0,0.0,8.0,0.6,0.0,3.43,0.0056753688989784334
60,M,30,faf74115a43b4f718f4d4c0de116ee8a,2017-12-02,41000.0,1090,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,11.95,5.0,120.0,0.0,10.0,1.0,0.0,2.99,0.003669724770642202
61,M,59,0b73997a269247088b2a63355f53ee58,2017-08-20,89000.0,1194,2.0,6.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,5.0,4.0,2.0,3.0,1.0,4.0,3.0,4.0,3.0,1.0,2.0,1.0,45.400000000000006,9.0,168.0,15.0,31.0,0.67,0.333,22.7,0.0016750418760469012
62,M,51,f44b44b53c0548d5b27c812fda4c358a,2015-12-31,41000.0,1792,3.0,6.0,4.0,20.0,3.0,3.0,3.0,3.0,1.0,2.0,6.0,4.0,4.0,5.0,2.0,4.0,0.0,4.0,3.0,3.0,4.0,1.0,3.0,0.0,75.96000000000001,11.153846153846153,206.76923076923077,9.0,29.0,0.67,0.5,3.8,0.011160714285714286
63,M,27,6e04a90a0e074496b5f229eb1f553433,2018-01-10,35000.0,1051,1.0,5.0,4.0,12.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,4.0,4.0,3.0,1.0,2.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,29.560000000000002,6.0,148.8,2.0,12.0,0.8,0.2,2.46,0.011417697431018078
64,M,40,262ad0fb526a4d53b572007da60cce24,2018-02-27,53000.0,1003,0.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,2.0,0.0,2.0,3.0,3.0,3.0,2.0,2.0,0.0,1.0,8.17,2.857142857142857,102.85714285714286,0.0,10.0,0.75,0.0,1.63,0.004985044865403789
65,F,73,a2b7a0b3487a4d779ddf4e11a034e2ee,2018-04-19,91000.0,952,3.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,5.0,4.0,5.0,3.0,2.0,2.0,1.0,5.0,4.0,5.0,3.0,2.0,2.0,1.0,109.16000000000001,6.615384615384615,142.15384615384616,18.0,20.0,1.0,0.6,27.29,0.004201680672268907
66,F,74,2c5c63e5124e417b8504f76c868a4190,2015-12-24,107000.0,1799,4.0,5.0,4.0,10.0,4.0,4.0,4.0,4.0,0.0,4.0,5.0,4.0,5.0,5.0,0.0,4.0,1.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,298.3,8.538461538461538,212.30769230769232,9.0,9.0,0.8,0.8,29.83,0.005558643690939411
67,M,42,9d6da0a2ac54474e8ec986fd21cecef0,2015-11-21,66000.0,1832,2.0,3.0,2.0,7.0,2.0,1.0,1.0,2.0,0.0,2.0,3.0,1.0,2.0,3.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,136.94,8.714285714285714,168.0,8.0,8.0,0.67,0.667,19.56,0.003820960698689956
68,M,78,571b739ada3041fb8fbd20f23ce034f7,2015-11-11,58000.0,1842,3.0,6.0,6.0,10.0,3.0,3.0,3.0,3.0,3.0,0.0,6.0,4.0,6.0,5.0,3.0,0.0,3.0,6.0,4.0,6.0,5.0,3.0,0.0,3.0,126.93999999999998,6.0,107.2,30.0,30.0,1.0,0.5,12.69,0.0054288816503800215
69,F,54,816afd4505d047cf893275fbfe825590,2016-12-25,53000.0,1432,2.0,6.0,5.0,18.0,2.0,2.0,2.0,2.0,0.0,2.0,6.0,6.0,6.0,3.0,4.0,2.0,0.0,5.0,5.0,5.0,2.0,3.0,2.0,0.0,57.03,10.0,197.53846153846155,4.0,44.0,0.83,0.333,3.17,0.012569832402234637
70,F,70,13b7b2eccf664a329d83d2a238a9a11d,2018-06-13,74000.0,897,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,5.666666666666667,136.0,0.0,13.0,1.0,0.0,0.0,0.0
71,F,49,68eee228713c429ebe1300155ad1fb33,2017-04-08,57000.0,1328,3.0,5.0,5.0,10.0,3.0,2.0,3.0,2.0,2.0,1.0,5.0,4.0,5.0,2.0,2.0,1.0,2.0,5.0,4.0,5.0,2.0,2.0,1.0,2.0,184.78000000000003,5.076923076923077,138.46153846153845,18.0,18.0,1.0,0.6,18.48,0.007530120481927711
