gender,age,cust_id,became_member_on,income,days_as_member,Total offer completed,Total offer received,Total offer viewed,Total transaction,offer completed_via_email,offer completed_via_social,offer completed_via_mobile,offer completed_via_web,offer completed bogo count,offer completed discount count,offer received_via_email,offer received_via_social,offer received_via_mobile,offer received_via_web,offer received bogo count,offer received discount count,offer received informational count,offer viewed_via_email,offer viewed_via_social,offer viewed_via_mobile,offer viewed_via_web,offer viewed bogo count,offer viewed discount count,offer viewed informational count,Total transaction amount,avg_difficulty,avg_duration,total_reward_received,total_reward_defined,total_view_ratio,total_completion_ratio,avg_transaction_amt,transactions_per_membership_days,weeks_as_member,avg transaction count by membership time,customer_type,customer type
F,61,a448667f336b42c9a66fc5ffd5d73772,2018-05-01,40000,940,0,3,2,7,0,0,0,0,0,0,3,2,3,1,2,0,1,2,2,2,0,1,0,1,20.78,5,129.6,0,15,0.67,0,2.97,0.007446808511,13.14285714,0.5326086957,passive,active
F,40,440cf1fd7580490c971d8c651ed962af,2016-05-04,71000,1667,5,5,4,16,5,3,4,5,0,5,5,3,4,5,0,5,0,4,3,3,4,0,4,0,300.68,10.21428571,183.4285714,16,16,0.8,1,18.79,0.009598080384,117,0.1367521368,active,passive
M,64,4b0da7e80e5945209a1fdddfe813dbe0,2017-09-09,100000,1174,3,5,4,7,3,1,1,2,1,2,5,2,3,3,2,2,1,4,2,3,2,2,1,1,211.29,12.5,186,20,30,0.8,0.6,30.18,0.005962521295,46.57142857,0.1503067485,active,passive
F,78,c27e0d6ab72c455a8bb66d980963de60,2017-06-16,71000,1259,1,6,6,8,1,1,1,1,0,1,6,4,6,4,1,1,4,6,4,6,4,1,1,4,155.46,3.846153846,125.5384615,2,12,1,0.167,19.43,0.006354249404,58.71428571,0.1362530414,passive,passive
M,42,f806632c011441378d4646567f357a21,2013-08-11,69000,2664,3,4,4,5,3,3,3,3,1,2,4,3,4,4,1,2,1,4,3,4,4,1,2,1,91.4,8.181818182,181.0909091,14,14,1,0.75,18.28,0.001876876877,259.4285714,0.01927312775,active,passive
F,56,d058f73bf8674a26a95227db098147b1,2018-04-28,88000,943,4,6,6,3,4,1,2,4,1,3,6,1,4,6,3,3,0,6,1,4,6,3,3,0,75.62,12.5,186,22,32,1,0.667,25.21,0.003181336161,13.57142857,0.2210526316,active,passive
F,33,c6c9884912c645429f3333f912b55f44,2017-09-26,52000,1157,1,6,3,9,1,1,1,1,0,1,6,2,5,6,1,5,0,3,2,3,3,0,3,0,17.9,9.9,196.8,2,19,0.5,0.167,1.99,0.007778738116,44.14285714,0.2038834951,passive,passive
F,46,7429a044884842d6862f516c38b1156f,2017-09-11,59000,1172,0,4,1,1,0,0,0,0,0,0,4,1,2,4,1,2,1,1,1,1,1,1,0,0,2.88,12,163.2,0,20,0.25,0,2.88,0.0008532423208,46.28571429,0.02160493827,passive,passive
M,59,ebe7ef46ea6f4963a7dd49f501b26779,2015-01-21,41000,2136,2,6,5,13,2,1,2,2,0,2,6,3,6,4,2,2,2,5,3,5,3,1,2,2,52.08,5.769230769,155.0769231,4,14,0.83,0.333,4.01,0.006086142322,184,0.07065217391,active,passive
M,67,5917d13f6fa04286abdf95f4d5cefb1e,2014-08-23,96000,2287,4,4,3,8,4,4,4,3,2,2,4,4,4,3,2,2,0,3,3,3,3,1,2,0,206.88,7,154.9090909,21,21,0.75,1,25.86,0.003498032357,205.5714286,0.03891591383,passive,passive
O,53,d1ede868e29245ea91818a903fec04c6,2017-09-16,52000,1167,1,5,3,5,1,0,1,1,0,1,5,3,5,4,3,1,1,3,3,3,2,2,0,1,18.74,7.222222222,125.3333333,2,27,0.6,0.2,3.75,0.004284490146,45.57142857,0.1097178683,passive,passive
M,22,1e9420836d554513ab90eba98552d0a9,2017-09-25,70000,1158,4,6,6,6,4,3,3,4,2,2,6,4,5,5,3,2,1,6,4,5,5,3,2,1,106.38,10.0625,154.5,28,38,1,0.667,17.73,0.00518134715,44.28571429,0.135483871,active,passive
F,96,868317b9be554cb18e50bc68484749a2,2017-11-17,89000,1105,4,5,2,4,4,2,4,4,2,2,5,3,5,4,2,2,1,2,2,2,1,1,0,1,81.92,5.363636364,137.4545455,15,15,0.4,0.8,20.48,0.003619909502,36.71428571,0.1089494163,passive,passive
M,40,f082d80f0aac47a99173ba8ef8fc1909,2016-07-09,33000,1601,1,6,4,14,1,0,1,1,1,0,6,3,6,4,5,0,1,4,3,4,2,3,0,1,40.94,5,141.8181818,5,30,0.67,0.167,2.92,0.008744534666,107.5714286,0.1301460823,passive,passive
F,69,102e9454054946fda62242d2e176fdce,2016-08-14,57000,1565,4,6,6,14,4,2,4,3,4,0,6,3,6,4,4,0,2,6,3,6,4,4,0,2,213.49,5.625,138,30,30,1,0.667,15.25,0.008945686901,102.4285714,0.1366806137,active,passive
M,56,8dabe2142cdf4013a6f4786edf8ab00f,2014-05-11,68000,2391,2,3,2,9,2,1,1,2,0,2,3,2,2,2,0,2,1,2,1,1,2,0,2,0,167.67,12.85714286,216,7,7,0.67,0.667,18.63,0.003764115433,220.4285714,0.04082955282,passive,passive
F,26,9f30b375d7bd4c62a884ffe7034e09ee,2017-08-12,63000,1202,2,3,3,21,2,2,2,2,0,2,3,3,3,2,0,2,1,3,3,3,2,0,2,1,73.38,6.375,171,5,5,1,0.667,3.49,0.01747088186,50.57142857,0.4152542373,active,passive
M,75,6e014185620b49bd98749f728747572f,2015-11-12,40000,1841,4,4,3,10,4,2,4,4,1,3,4,2,4,4,1,3,0,3,2,3,3,1,2,0,155.53,7.818181818,154.9090909,12,12,0.75,1,15.55,0.005431830527,141.8571429,0.07049345418,passive,passive
F,20,02c083884c7d45b39cc68e1314fec56c,2016-07-11,30000,1599,0,2,1,10,0,0,0,0,0,0,2,1,1,1,1,1,0,1,1,1,0,1,0,0,29.89,13.33333333,192,0,15,0.5,0,2.99,0.006253908693,107.2857143,0.09320905459,passive,passive
M,45,c0d210398dee4a0895b24444a5fcd1d2,2018-07-07,33000,873,3,5,5,8,3,2,3,3,2,1,5,3,5,5,3,1,1,5,3,5,5,3,1,1,61.25,6.615384615,138.4615385,18,28,1,0.6,7.66,0.009163802978,3.571428571,2.24,active,active
M,61,8b70ca1f5f5a45bdac2ac2f990b71526,2017-11-21,98000,1101,4,5,4,8,4,2,4,4,2,2,5,3,5,5,3,2,0,4,3,4,4,3,1,0,234.43,7.384615385,149.5384615,20,25,0.8,0.8,29.3,0.007266121708,36.14285714,0.2213438735,active,passive
F,69,8e7c7465e98c43d8a01f51e2b5c29542,2013-09-18,37000,2626,1,5,3,12,1,0,0,1,0,1,5,3,4,3,3,2,0,3,3,3,1,2,1,0,32.72,11,184,5,33,0.6,0.2,2.73,0.004569687738,254,0.04724409449,passive,passive
F,54,57dd18ec5ddc46828afb81ec5977bef2,2017-02-07,80000,1388,3,6,5,9,3,3,3,3,2,1,6,4,6,5,3,1,2,5,4,5,4,2,1,2,249.4,5.714285714,138.8571429,17,22,0.83,0.5,27.71,0.006484149856,77.14285714,0.1166666667,active,passive
M,39,be8a5d1981a2458d90b255ddc7e0d174,2014-05-27,51000,2375,1,5,3,14,1,1,1,1,1,0,5,3,4,4,2,1,2,3,3,3,2,2,0,1,51.91,6.111111111,120,5,20,0.6,0.2,3.71,0.005894736842,218.1428571,0.06417812705,passive,passive
F,41,3f89b8f80ebc4f94b7074f28071aa8d4,2015-09-21,41000,1893,3,4,2,18,3,1,3,3,1,2,4,2,4,3,2,2,0,2,2,2,1,1,1,0,62.51,7.888888889,168,10,20,0.5,0.75,3.47,0.009508716323,149.2857143,0.1205741627,passive,passive
F,79,a3b9b4bf115e4564933ea2e4bc936843,2015-04-15,48000,2052,2,4,2,15,2,1,2,1,1,1,4,1,4,3,2,2,0,2,1,2,1,2,0,0,152,8.75,168,12,19,0.5,0.5,10.13,0.00730994152,172,0.08720930233,passive,passive
F,66,7584948ea6d04f94b8798624706261c2,2018-04-08,38000,963,1,4,4,5,1,0,1,1,1,0,4,3,4,2,3,0,1,4,3,4,2,3,0,1,56.08,6.111111111,136,5,25,1,0.25,11.22,0.005192107996,16.42857143,0.3043478261,active,passive
F,56,e9844d5beac04bf8b8d3ad18f7e37fca,2017-06-26,52000,1249,2,3,1,7,2,1,1,2,0,2,3,1,1,3,0,3,0,1,1,1,1,0,1,0,87.11,13.5,204,8,13,0.33,0.667,12.44,0.005604483587,57.28571429,0.1221945137,passive,passive
F,39,f247806381704ea58c1b06f60602a6ae,2014-07-23,56000,2318,3,5,3,13,3,1,3,3,1,2,5,2,5,4,2,2,1,3,2,3,2,1,1,1,150.23,5.545454545,150.5454545,10,15,0.6,0.6,11.56,0.005608283003,210,0.0619047619,passive,passive
M,42,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,2016-01-17,96000,1775,4,4,4,12,4,2,3,4,1,3,4,2,3,4,1,3,0,4,2,3,4,1,3,0,320.48,11.75,174,20,20,1,1,26.71,0.00676056338,132.4285714,0.09061488673,active,passive
F,78,fe8264108d5b4f198453bbb1fa7ca6c9,2016-10-09,93000,1509,5,5,5,8,5,4,4,4,3,2,5,4,4,4,3,2,0,5,4,4,4,3,2,0,225.55,11,177.6,32,32,1,1,28.19,0.005301524188,94.42857143,0.08472012103,active,passive
M,45,186d6403f5824c739555b732f4af3f16,2017-10-06,48000,1147,0,4,2,6,0,0,0,0,0,0,4,2,3,3,1,2,1,2,2,2,1,1,1,0,17,10,192,0,17,0.5,0,2.83,0.005231037489,42.71428571,0.1404682274,passive,passive
M,29,8a87fda1a6644337b4394a4c3cd0946c,2016-04-30,50000,1671,1,4,2,12,1,0,0,1,0,1,4,2,3,3,0,3,1,2,2,2,1,0,1,1,38.17,10,181.7142857,5,9,0.5,0.25,3.18,0.007181328546,117.5714286,0.1020656136,passive,passive
M,44,b7a66e629b134079a9bc7120c7b9947b,2017-09-24,35000,1159,4,4,4,18,4,4,4,4,1,3,4,4,4,4,1,3,0,4,4,4,4,1,3,0,150.23,7.25,174,13,13,1,1,8.35,0.01553062985,44.42857143,0.4051446945,active,passive
M,63,ca82e1ebc759402c8ab95c341755bdf1,2018-07-13,56000,867,3,3,3,9,3,2,3,2,1,2,3,2,3,2,1,2,0,3,2,3,2,1,2,0,121.62,10,192,14,14,1,1,13.51,0.01038062284,2.714285714,3.315789474,active,active
M,36,54890f68699049c2a04d415abc25e717,2017-12-28,56000,1064,2,3,2,7,2,1,1,2,0,2,3,2,2,2,0,2,1,2,2,2,1,0,1,1,118.85,8.714285714,161.1428571,8,8,0.67,0.667,16.98,0.006578947368,30.85714286,0.2268518519,passive,passive
F,76,ab66a363907e43e9a7cd535f1578245b,2018-03-14,47000,988,1,5,3,6,1,1,1,1,0,1,5,3,4,5,2,2,1,3,3,3,3,2,1,0,22.65,9,146.6666667,3,28,0.6,0.2,3.78,0.006072874494,20,0.3,passive,passive
M,68,d3f146b615514c6380b168bb3df5f05b,2017-08-23,87000,1191,5,5,5,8,5,4,5,5,3,2,5,4,5,5,3,2,0,5,4,5,5,3,2,0,177.18,7.4,139.2,25,25,1,1,22.15,0.0067170445,49,0.1632653061,active,passive
M,75,a5a6ef2b78a04ddc9f374dd7c7f60bff,2015-11-29,52000,1824,2,3,3,11,2,0,2,2,1,1,3,1,3,2,1,1,1,3,1,3,2,1,1,1,135.54,5.625,144,7,7,1,0.667,12.32,0.006030701754,139.4285714,0.07889344262,active,passive
M,67,2e87ba0fba1a4d1a8614af771f07a94d,2017-02-26,76000,1369,4,5,5,12,4,4,4,4,1,3,5,5,5,4,1,3,1,5,5,5,4,1,3,1,200.78,6.214285714,159.4285714,13,13,1,0.8,16.73,0.008765522279,74.42857143,0.1612284069,active,passive
M,77,d8af520c4a8a4c77b921098d7d838c4d,2016-07-30,51000,1580,0,5,4,11,0,0,0,0,0,0,5,4,4,3,2,1,2,4,4,4,2,2,0,2,23.81,5.555555556,112,0,20,0.8,0,2.16,0.006962025316,104.5714286,0.1051912568,passive,passive
M,76,39dbcf43e24d41f4bbf0f134157e0e1e,2014-08-31,64000,2279,1,3,2,8,1,0,1,1,0,1,3,2,3,1,1,1,1,2,1,2,1,0,1,1,110.92,6.666666667,136,2,12,0.67,0.333,13.86,0.00351031154,204.4285714,0.0391334731,passive,passive
M,57,b62e66ca4dcf4df39fd522e750a88d81,2018-02-07,98000,1023,2,3,0,1,2,1,1,1,1,1,3,1,2,2,2,1,0,0,0,0,0,0,0,0,27.24,13,196.8,15,20,0,0.667,27.24,0.0009775171065,25,0.04,passive,passive
F,53,8c7df0c393db488aac3e58b06a7ea5f9,2016-07-06,72000,1604,5,6,4,9,5,3,5,4,2,3,6,4,6,4,2,3,1,4,4,4,2,2,1,1,167.88,8.066666667,145.6,27,27,0.67,0.833,18.65,0.005610972569,108,0.08333333333,passive,passive
F,53,3a1242dda16248728e350c4bdeb21972,2016-12-31,117000,1426,5,5,4,10,5,4,5,4,4,1,5,4,5,4,4,1,0,4,3,4,3,4,0,0,303.2,8.928571429,157.7142857,37,37,0.8,1,30.32,0.007012622721,82.57142857,0.1211072664,active,passive
F,53,8045834137dc47faa24f2c4547969f33,2017-10-26,55000,1127,1,5,3,8,1,1,1,1,0,1,5,3,4,5,2,3,0,3,3,3,3,2,1,0,20.18,8.888888889,178.6666667,2,19,0.6,0.2,2.52,0.007098491571,39.85714286,0.2007168459,passive,passive
F,61,fb98ebe9e3e14afaa5b5db182b00b7ec,2017-11-10,112000,1112,2,5,5,2,2,2,2,2,0,2,5,3,5,5,0,4,1,5,3,5,5,0,4,1,67.25,7.583333333,186,5,9,1,0.4,33.62,0.001798561151,37.71428571,0.05303030303,active,passive
F,67,5cd6577aca5d4b419e452f9f505ffce7,2016-09-10,77000,1538,1,3,3,8,1,0,1,1,0,1,3,2,3,2,1,1,1,3,2,3,2,1,1,1,155.73,5.714285714,126.8571429,2,7,1,0.333,19.47,0.005201560468,98.57142857,0.08115942029,active,passive
F,58,99e9a1916821461ebd5d5048dc2dff7d,2018-01-25,85000,1036,4,4,4,15,4,3,3,4,1,3,4,3,3,4,1,3,0,4,3,3,4,1,3,0,290.42,11.25,210,14,14,1,1,19.36,0.01447876448,26.85714286,0.5585106383,active,active
F,46,e528ceb341964128aaf58a59733ec2af,2018-06-29,36000,881,0,5,3,5,0,0,0,0,0,0,5,3,5,5,0,3,2,3,3,3,3,0,3,0,17.13,6,168,0,8,0.6,0,3.43,0.005675368899,4.714285714,1.060606061,passive,active
M,30,faf74115a43b4f718f4d4c0de116ee8a,2017-12-02,41000,1090,0,2,2,4,0,0,0,0,0,0,2,2,2,0,1,0,1,2,2,2,0,1,0,1,11.95,5,120,0,10,1,0,2.99,0.003669724771,34.57142857,0.1157024793,passive,passive
M,59,0b73997a269247088b2a63355f53ee58,2017-08-20,89000,1194,2,6,4,2,2,1,1,1,1,1,6,4,5,4,2,3,1,4,3,4,3,1,2,1,45.4,9,168,15,31,0.67,0.333,22.7,0.001675041876,49.42857143,0.04046242775,passive,passive
M,51,f44b44b53c0548d5b27c812fda4c358a,2015-12-31,41000,1792,3,6,4,20,3,3,3,3,1,2,6,4,4,5,2,4,0,4,3,3,4,1,3,0,75.96,11.15384615,206.7692308,9,29,0.67,0.5,3.8,0.01116071429,134.8571429,0.1483050847,passive,passive
M,27,6e04a90a0e074496b5f229eb1f553433,2018-01-10,35000,1051,1,5,4,12,1,1,1,1,0,1,5,4,4,3,1,2,2,4,4,4,2,1,1,2,29.56,6,148.8,2,12,0.8,0.2,2.46,0.01141769743,29,0.4137931034,active,passive
M,40,262ad0fb526a4d53b572007da60cce24,2018-02-27,53000,1003,0,4,3,5,0,0,0,0,0,0,4,3,4,3,2,0,2,3,3,3,2,2,0,1,8.17,2.857142857,102.8571429,0,10,0.75,0,1.63,0.004985044865,22.14285714,0.2258064516,passive,passive
F,73,a2b7a0b3487a4d779ddf4e11a034e2ee,2018-04-19,91000,952,3,5,5,4,3,3,3,2,2,1,5,4,5,3,2,2,1,5,4,5,3,2,2,1,109.16,6.615384615,142.1538462,18,20,1,0.6,27.29,0.004201680672,14.85714286,0.2692307692,active,passive
F,74,2c5c63e5124e417b8504f76c868a4190,2015-12-24,107000,1799,4,5,4,10,4,4,4,4,0,4,5,4,5,5,0,4,1,4,4,4,4,0,4,0,298.3,8.538461538,212.3076923,9,9,0.8,0.8,29.83,0.005558643691,135.8571429,0.07360672976,active,passive
M,42,9d6da0a2ac54474e8ec986fd21cecef0,2015-11-21,66000,1832,2,3,2,7,2,1,1,2,0,2,3,1,2,3,0,2,1,2,1,2,2,0,1,1,136.94,8.714285714,168,8,8,0.67,0.667,19.56,0.003820960699,140.5714286,0.04979674797,passive,passive
M,78,571b739ada3041fb8fbd20f23ce034f7,2015-11-11,58000,1842,3,6,6,10,3,3,3,3,3,0,6,4,6,5,3,0,3,6,4,6,5,3,0,3,126.94,6,107.2,30,30,1,0.5,12.69,0.00542888165,142,0.07042253521,active,passive
F,54,816afd4505d047cf893275fbfe825590,2016-12-25,53000,1432,2,6,5,18,2,2,2,2,0,2,6,6,6,3,4,2,0,5,5,5,2,3,2,0,57.03,10,197.5384615,4,44,0.83,0.333,3.17,0.0125698324,83.42857143,0.2157534247,active,passive
F,70,13b7b2eccf664a329d83d2a238a9a11d,2018-06-13,74000,897,0,3,3,0,0,0,0,0,0,0,3,3,3,3,2,1,0,3,3,3,3,2,1,0,0,5.666666667,136,0,13,1,0,0,0,7,0,passive,passive
F,49,68eee228713c429ebe1300155ad1fb33,2017-04-08,57000,1328,3,5,5,10,3,2,3,2,2,1,5,4,5,2,2,1,2,5,4,5,2,2,1,2,184.78,5.076923077,138.4615385,18,18,1,0.6,18.48,0.007530120482,68.57142857,0.1458333333,active,passive
F,62,ffc6c9fbe34b4578911dcdf6745b4c74,2018-04-10,57000,961,0,3,2,0,0,0,0,0,0,0,3,1,2,3,1,2,0,2,1,2,2,1,1,0,0,8.8,182.4,0,13,0.67,0,0,0,16.14285714,0,passive,passive
M,64,cbebad9819494b479dbf0c1207b4c0c5,2017-03-05,70000,1362,4,4,4,9,4,3,3,4,1,3,4,3,3,4,1,3,0,4,3,3,4,1,3,0,140.34,11.75,192,20,20,1,1,15.59,0.006607929515,73.42857143,0.1225680934,active,passive
F,89,4264b1d027cc493281bba4f44bfedaca,2017-11-14,87000,1108,4,4,3,9,4,2,3,4,0,4,4,2,3,4,0,4,0,3,2,3,3,0,3,0,248.63,10.18181818,181.0909091,13,13,0.75,1,27.63,0.008122743682,37.14285714,0.2423076923,passive,passive
M,73,0ba6e2ad781c4429afd26cf0b35f2d11,2018-04-01,51000,970,1,5,4,9,1,1,1,1,0,1,5,4,4,3,1,2,2,4,4,4,2,1,1,2,23.43,7,148.8,2,17,0.8,0.2,2.6,0.009278350515,17.42857143,0.5163934426,active,active
F,50,b5abc1e85be84f43937b4fca0ad238cb,2017-05-06,93000,1300,4,5,5,12,4,3,4,4,1,3,5,4,5,4,1,3,1,5,4,5,4,1,3,1,297.29,6.214285714,144,13,13,1,0.8,24.77,0.009230769231,64.57142857,0.185840708,active,passive
F,90,1c587de019994f93a242c6864fd7bc55,2015-12-10,98000,1813,1,4,1,3,1,1,1,0,1,0,4,3,3,1,2,1,1,1,1,1,0,1,0,0,80.03,10,164,10,25,0.25,0.25,26.68,0.00165471594,137.8571429,0.02176165803,passive,passive
F,68,3f4e408b0b2d4ea89dd16d7437d867c1,2016-07-31,84000,1579,1,5,0,2,1,0,1,1,0,1,5,1,3,4,1,3,1,0,0,0,0,0,0,0,34.04,11.66666667,180,2,22,0,0.2,17.02,0.001266624446,104.4285714,0.01915184679,passive,passive
M,60,13bda8fbd70a4814b956df1d55320398,2017-02-06,64000,1389,1,3,2,12,1,1,1,1,1,0,3,1,3,3,2,0,1,2,1,2,2,2,0,0,44.14,4.166666667,132,5,10,0.67,0.333,3.68,0.008639308855,77.28571429,0.1552680222,passive,passive
M,45,b19c8e7ac2ff40ae92b4fcf3247f8912,2017-08-15,54000,1199,0,5,3,6,0,0,0,0,0,0,5,3,4,4,2,2,1,3,3,3,2,2,1,0,11.51,10,174,0,27,0.6,0,1.92,0.005004170142,50.14285714,0.1196581197,passive,passive
M,66,21c73d53e2a74bb1b4dc172bff2b1aad,2016-01-24,49000,1768,5,6,5,18,5,4,5,5,2,3,6,4,6,6,2,3,1,5,4,5,5,2,2,1,200.93,6.6875,141,23,23,0.83,0.833,11.16,0.01018099548,131.4285714,0.1369565217,active,passive
F,19,1abeb816d9fa49b4b5b5ae51bc3d24c3,2016-10-15,73000,1503,2,5,3,11,2,1,2,2,1,1,5,2,4,5,1,3,1,3,2,3,3,1,2,0,202.75,8.5,204,7,14,0.6,0.4,18.43,0.007318695941,93.57142857,0.1175572519,passive,passive
F,66,92e07c49ee7448fca6e48df0c96e3eec,2018-02-16,58000,1014,3,5,4,10,3,2,3,2,2,1,5,2,5,4,2,1,2,4,2,4,3,2,1,1,163.53,5.5,150,18,18,0.8,0.6,16.35,0.009861932939,23.71428571,0.421686747,active,passive
F,72,f8aedd0cbea0419c806842b4265b82e5,2016-08-11,72000,1568,6,6,5,12,6,6,6,4,4,2,6,6,6,4,4,2,0,5,5,5,4,3,2,0,201.92,8.588235294,163.7647059,40,40,0.83,1,16.83,0.007653061224,102.8571429,0.1166666667,active,passive
M,76,a9780228a1d04539afdee8b745e4be10,2016-04-07,63000,1694,4,5,5,13,4,3,3,4,1,3,5,3,4,5,1,3,1,5,3,4,5,1,3,1,224.76,9.642857143,193.7142857,14,14,1,0.8,17.29,0.007674144038,120.8571429,0.1075650118,active,passive
M,52,94f14dcfedba47e18b7efca13dd7574b,2017-05-15,78000,1291,4,5,3,6,4,3,4,3,3,1,5,3,5,4,3,2,0,3,2,3,3,2,1,0,117.92,10,144,32,34,0.6,0.8,19.65,0.004647560031,63.28571429,0.09480812641,passive,passive
M,55,8a4bc602e4424ab6b16f0b907f2f22af,2017-12-10,31000,1082,1,4,2,5,1,0,1,1,1,0,4,2,4,3,3,0,1,2,2,2,1,2,0,0,30.73,7.142857143,144,5,25,0.5,0.25,6.15,0.004621072089,33.42857143,0.1495726496,passive,passive
F,39,6d28f18e91324d358d69d1e4b01f1ace,2017-09-19,60000,1164,3,4,4,12,3,2,3,3,2,1,4,3,4,3,2,1,1,4,3,4,3,2,1,1,705.5,6.818181818,124.3636364,17,17,1,0.75,58.79,0.01030927835,45.14285714,0.2658227848,active,passive
F,45,52f0bd64403f4958ab8fe9a6947c13c3,2016-01-26,44000,1766,5,6,2,16,5,3,5,5,3,2,6,3,6,6,4,2,0,2,2,2,2,1,1,0,163.71,8.846153846,166.1538462,29,34,0.33,0.833,10.23,0.00906002265,131.1428571,0.1220043573,passive,passive
F,57,93e67942586e43fb87d5ffb1ead8db41,2017-07-04,114000,1241,5,6,5,8,5,5,5,4,4,1,6,5,6,5,4,1,1,5,5,5,4,4,1,0,184.82,7.5,150,32,32,0.83,0.833,23.1,0.006446414182,56.14285714,0.1424936387,active,passive
M,74,e641af076cc54529bec6ab61fc25f4a6,2018-07-12,48000,868,0,3,1,3,0,0,0,0,0,0,3,2,3,3,1,2,0,1,0,1,1,1,0,0,6.86,6,168,0,11,0.33,0,2.29,0.003456221198,2.857142857,1.05,passive,active
M,18,716a961d2afb4c1d8307522a8cbb4f07,2016-07-27,47000,1583,5,6,4,22,5,4,5,5,1,4,6,5,6,5,2,4,0,4,4,4,4,1,3,0,275.61,8.8,172.8,20,30,0.67,0.833,12.53,0.01389766267,105,0.2095238095,passive,passive
M,53,13033baa9d294c3c9165a00d71b72614,2017-09-27,96000,1156,4,5,5,5,4,3,4,4,1,3,5,4,5,4,2,3,0,5,4,5,4,2,3,0,138.84,7.642857143,157.7142857,13,23,1,0.8,27.77,0.004325259516,44,0.1136363636,active,passive
F,59,15953663abf54181adf1fd4c39442b85,2017-09-10,98000,1173,3,3,1,4,3,0,3,3,0,3,3,0,3,3,0,3,0,1,0,1,1,0,1,0,112.04,10,168,6,6,0.33,1,28.01,0.003410059676,46.42857143,0.08615384615,passive,passive
M,57,0ac5ffb0f1624297a453494b845e1a91,2014-11-04,46000,2214,1,4,3,10,1,1,1,1,0,1,4,2,4,4,1,1,2,3,1,3,3,1,0,2,34.22,5,138,2,12,0.75,0.25,3.42,0.004516711834,195.1428571,0.05124450952,passive,passive
